eng,viet
"""Are you Ziri?"" ""Yeah."" ""Then you can help me."" ""What do you want?""","""Bạn có phải là Ziri không?"" ""Vâng."" ""Vậy thì cậu có thể giúp tôi."" ""Bạn muốn gì?"""
"When you were studying abroad in Japan, what music did you listen to?","Khi bạn du học ở Nhật Bản, bạn nghe nhạc gì?"
"Maybe I'm unhappy, but I don't intend to kill myself.","Có lẽ tôi không vui, nhưng tôi không có ý định tự tử."
Today the sky is clear and there's a light breeze. It's the perfect time to go out.,Hôm nay bầu trời trong xanh và có gió nhẹ. Đây là thời điểm hoàn hảo để đi ra ngoài.
Uncle loves the lizards when they turn into shoes and belts.,Chú rất thích những con thằn lằn khi chúng biến thành giày và thắt lưng.
"Tom is learning Vietnamese, but he is not able to speak it well yet.",Tom đang học tiếng Việt nhưng vẫn chưa nói được tiếng Việt tốt.
"In Japanese, even if it's the same word, if the notation is different, slight differences in meaning and nuance can be expressed.","Trong tiếng Nhật, ngay cả khi đó là cùng một từ, nếu ký hiệu khác nhau, có thể thể hiện được sự khác biệt nhỏ về ý nghĩa và sắc thái."
I'm tired of hearing you pull arguments out of who knows where.,Tôi phát ngán khi phải nghe bạn đưa ra những lập luận chẳng biết từ đâu.
"If I don't finish my summer homework fast, I'll run out of summer vacation to enjoy.","Nếu tôi không hoàn thành nhanh bài tập hè, tôi sẽ hết kỳ nghỉ hè để tận hưởng."
"I like this picture, not just because it's famous, but because it really is a masterpiece.",Tôi thích bức ảnh này không chỉ vì nó nổi tiếng mà còn vì nó thực sự là một kiệt tác.
"In comparison to a colour print, a monochrome print is less expensive.","So với bản in màu, bản in đơn sắc rẻ hơn."
A monochrome print compared to a colour print is less expensive.,"So với bản in màu, bản in đơn sắc rẻ hơn."
"""I'm wondering whether I should buy a steam iron, what do you think? Or should I say, buy me one"" ""No. Buy one yourself.""","""Tôi đang phân vân không biết có nên mua bàn ủi hơi nước không, bạn nghĩ sao? Hay tôi nên nói là mua cho tôi một cái"" ""Không. Bạn tự mua một cái đi."""
"""I've been chosen to receive a commendation at the graduation ceremony. I'm about to go to rehearsal for it now."" ""Amazing See you Hope you don't trip on stage.""","""Tôi đã được chọn để nhận bằng khen trong lễ tốt nghiệp. Bây giờ tôi đang chuẩn bị đi diễn tập đây."" ""Thật tuyệt vời Hẹn gặp lại Hy vọng bạn không vấp ngã trên sân khấu."""
"To tell the truth, I'd rather stay home than go out.",Nói thật thì tôi thà ở nhà còn hơn ra ngoài.
The post office is about three miles past the high school.,Bưu điện cách trường trung học khoảng ba dặm.
He started to stutter as the girl was entering the dining room.,Anh ta bắt đầu lắp bắp khi cô gái bước vào phòng ăn.
This is one of the worst movies that I've ever seen.,Đây là một trong những bộ phim tệ nhất mà tôi từng xem.
Text him that we're waiting for him near the entrance.,Nhắn tin cho anh ấy rằng chúng tôi đang đợi anh ấy ở gần lối vào.
We saved a little bird who had fallen out of the nest.,Chúng tôi đã cứu được một chú chim nhỏ bị rơi ra khỏi tổ.
"The Upper Sorbian alphabet consists of 34 letters: a, b, c, ?, ?, d, d?, e, ?, f, g, h, ch, i, j, k, ?, l, m, n, ?, o, ó, p, r, ?, s, ?, t, u, w, y, z, ?.","Bảng chữ cái tiếng Sorbia Thượng gồm 34 chữ cái: a, b, c, ?, ?, d, d?, e, ?, f, g, h, ch, i, j, k, ?, l, m, n, ?, o, ó, p, r, ?, s, ?, t, u, w, y, z, ?."
"The Slovak alphabet consists of 46 letters: a, á, ä, b, c, ?, d, ?, dz, d?, e, é, f, g, h, ch, i, í, j, k, l, ?, ?, m, n, ?, o, ó, ô, p, q, r, ?, s, ?, t, ?, u, ú, v, w, x, y, ?, z, ?.","Bảng chữ cái tiếng Slovak gồm 46 chữ cái: a, á, ä, b, c, ?, d, ?, dz, d?, e, é, f, g, h, ch, i, í, j, k, l , ?, ?, m, n, ?, o, ó, ô, p, q, r, ?, s, ?, t, ?, u, ú, v, w, x, y, ?, z, ? ."
We buy milk and eggs from a farm about three miles from our house.,Chúng tôi mua sữa và trứng từ một trang trại cách nhà khoảng ba dặm.
"Although Yanni is a woman, everyone believes they're a man.",Mặc dù Yanni là phụ nữ nhưng mọi người đều tin rằng họ là đàn ông.
"It feels like Chrome became much slower when I updated to the newest version, but is it only my imagination?","Có cảm giác như Chrome trở nên chậm hơn rất nhiều khi tôi cập nhật lên phiên bản mới nhất, nhưng đó có phải chỉ là trí tưởng tượng của tôi không?"
"""Is it ok if I ask a stupid question? Can you read this? Korona... uzu? nabe? or something else?"" ""Koronaka."" ""Ah, ka."" ""I think you should be watching more TV.""","""Có ổn không nếu tôi hỏi một câu hỏi ngu ngốc? Bạn có thể đọc được cái này không? Korona... uzu? nabe? hay cái gì khác?"" ""Koronaka."" ""À, à."" ""Tôi nghĩ bạn nên xem TV nhiều hơn."""
"Perhaps I don't like women, I just like their voices.","Có lẽ tôi không thích phụ nữ, tôi chỉ thích giọng nói của họ thôi."
I wonder when the next time I meet her will be.,Tôi tự hỏi khi nào tôi mới có thể gặp lại cô ấy.
"The present is the line drawn between past and future. If there is not life on this line, then there is no life anywhere.",Hiện tại là ranh giới được vẽ giữa quá khứ và tương lai. Nếu không có sự sống trên đường này thì không có sự sống ở bất cứ đâu.
"I have a fear of strangers and am a poor talker, so I find it difficult to continue conversation.",Tôi sợ người lạ và là người nói kém nên khó tiếp tục trò chuyện.
"I don't remember exactly what this cost, but it was over three hundred dollars.","Tôi không nhớ chính xác giá của nó là bao nhiêu, nhưng nó lên tới hơn ba trăm đô la."
"If you go into the forest, please be careful of child-eating demons",Nếu đi vào rừng hãy cẩn thận với lũ quỷ ăn thịt trẻ em
"""What is the most important thing to Tom?"", ""I have no idea, this is the first time I have been asked that question.""","“Điều quan trọng nhất đối với Tom là gì?”, “Tôi không biết, đây là lần đầu tiên tôi được hỏi câu hỏi đó”."
"It's so hot, you could fry an egg on a car bonnet.",Trời nóng đến nỗi bạn có thể chiên một quả trứng trên nắp ca-pô ô tô.
Tom and I often talk to each other on the bus on the way to school.,Tom và tôi thường nói chuyện với nhau trên xe buýt đến trường.
"If you're going to pull weeds, pull them out by the roots.","Nếu bạn định nhổ cỏ dại, hãy nhổ chúng từ gốc."
It's six of one and half-a-dozen of the other.,Đó là sáu của một rưỡi của cái kia.
This beach has a lot of seashore plants growing on it so it's not a popular spot for swimming.,Bãi biển này có rất nhiều cây ven biển mọc trên đó nên đây không phải là địa điểm nổi tiếng để bơi lội.
The lift doesn't work today because it's out of order.,Thang máy hôm nay không hoạt động vì nó bị hỏng.
The firecrackers for New Year's Eve are similar to the firecrackers for weddings.,Pháo trong đêm giao thừa cũng giống như pháo trong đám cưới.
"I'm not only studying English, but I'm also studying French.",Tôi không chỉ học tiếng Anh mà còn học tiếng Pháp.
I didn't realize how small Japan was until I went to Australia.,Tôi đã không nhận ra Nhật Bản nhỏ bé thế nào cho đến khi tôi đến Úc.
"If the United States had enough weapons and soldiers, it would exterminate all of humanity. What keeps them from doing this now, is the fact that Nuclear weapons risk making the whole planet uninhabitable for many centuries.","Nếu Hoa Kỳ có đủ vũ khí và binh lính, nó sẽ tiêu diệt toàn bộ nhân loại. Điều khiến họ không làm điều này bây giờ là thực tế là vũ khí hạt nhân có nguy cơ khiến cả hành tinh không thể ở được trong nhiều thế kỷ."
"In the cafe, Greg the pastor asks, ""What are you reading?"" Viktor answers, ""It is an Esperanto-French dictionary, an antique from 1936.""","Trong quán cà phê, mục sư Greg hỏi: ""Bạn đang đọc gì vậy?"" Viktor trả lời, ""Đó là một cuốn từ điển Esperanto-Pháp, một món đồ cổ từ năm 1936."""
"If you want to learn a new language, diligence is the most important factor.","Nếu bạn muốn học một ngôn ngữ mới, sự siêng năng là yếu tố quan trọng nhất."
There are a lot of things to see and visit here.,Có rất nhiều thứ để xem và tham quan ở đây.
"While the Kabyle people were fighting French colonialism in the 1940s and 1950s, the Algerians said: ""What is the Kabyle problem with France?"" Then, after the independence of Algeria, the roles were reversed by the fake Algerian media. The Kabyles have become ""Zouaves"" and the Algerian Arabs heroes who liberated Algeria. But statistics and historical documents are there to testify to the historical truth.","Trong khi người dân Kabyle đang chống lại chủ nghĩa thực dân Pháp vào những năm 1940 và 1950 thì người Algeria nói: “Vấn đề Kabyle với Pháp là gì?” Sau đó, sau khi Algeria giành độc lập, vai trò của các phương tiện truyền thông Algeria giả mạo đã bị đảo ngược. Người Kabyles đã trở thành ""Zouaves"" và những anh hùng người Ả Rập Algeria đã giải phóng Algeria. Nhưng số liệu thống kê và tài liệu lịch sử ở đó để chứng minh sự thật lịch sử."
Tom says that he speaks fluent French. Let's talk to him in only French to test that claim out.,Tom nói rằng anh ấy nói tiếng Pháp lưu loát. Chúng ta hãy nói chuyện với anh ấy chỉ bằng tiếng Pháp để kiểm tra lời khẳng định đó.
"For a while after the new school year began, I looked for somewhere I could fit in.","Một thời gian sau khi năm học mới bắt đầu, tôi đã tìm kiếm một nơi nào đó mà tôi có thể hòa nhập."
I wrote down his name so that I wouldn't forget it.,Tôi viết tên anh ấy để khỏi quên.
"""I wonder if Yumi is still up?"" ""I think she's probably sleeping. I mean, it's three in the morning in Japan.""","""Không biết Yumi còn thức không?"" ""Tôi nghĩ có lẽ cô ấy đang ngủ. Ý tôi là, ở Nhật Bản lúc này là ba giờ sáng."""
Tom's parents say that his French isn't bad at all.,Cha mẹ của Tom nói rằng tiếng Pháp của anh ấy không tệ chút nào.
The stock market is a wonderfully efficient mechanism for transferring wealth from the impatient to the patient.,Thị trường chứng khoán là một cơ chế cực kỳ hiệu quả để chuyển giao tài sản từ người thiếu kiên nhẫn sang người kiên nhẫn.
How long would it take to learn French well enough to work here?,Sẽ mất bao lâu để học tiếng Pháp đủ tốt để làm việc ở đây?
"He read and reread the letter she had sent, but still he could not understand what she was trying to say.","Anh đọc đi đọc lại bức thư cô đã gửi, nhưng anh vẫn không hiểu cô đang cố nói gì."
This festival is one of the best festivals I've ever been to.,Lễ hội này là một trong những lễ hội tuyệt vời nhất mà tôi từng tham dự.
Tom was one of the men the police arrested yesterday in the park.,Tom là một trong những người đàn ông bị cảnh sát bắt hôm qua ở công viên.
Tom was one of the men that the police arrested yesterday in the park.,Tom là một trong những người đàn ông bị cảnh sát bắt ngày hôm qua ở công viên.
I think that everyone here knows Tom can't do that.,Tôi nghĩ mọi người ở đây đều biết Tom không thể làm được điều đó.
I think that everybody here knows Tom can't do that.,Tôi nghĩ mọi người ở đây đều biết Tom không thể làm được điều đó.
I think that everybody here knows that Tom can't do that.,Tôi nghĩ mọi người ở đây đều biết Tom không thể làm điều đó.
I think that everyone here knows that Tom can't do that.,Tôi nghĩ mọi người ở đây đều biết Tom không thể làm được điều đó.
I'm pretty sure I won't be able to convince Tom to stop doing that.,Tôi khá chắc là tôi sẽ không thể thuyết phục Tom ngừng làm điều đó.
I'm pretty sure that I won't be able to convince Tom to stop doing that.,Tôi khá chắc là tôi sẽ không thể thuyết phục Tom ngừng làm điều đó.
Tom lived in the house next to ours for three years.,Tom đã sống ở ngôi nhà bên cạnh nhà chúng tôi trong ba năm.
"Linda looked at the piano and inquired, ""Who taught you piano?""",Linda nhìn cây đàn piano và hỏi: “Ai dạy bạn đàn piano?”
I'd like to thank Tom for everything he's done.,Tôi muốn cảm ơn Tom vì tất cả những gì anh ấy đã làm.
The authorities disclosed little useful information about the spread of COVID-19 at the beginning of the outbreak.,Chính quyền tiết lộ rất ít thông tin hữu ích về sự lây lan của Covid-19 khi dịch bắt đầu bùng phát.
I bought a house with the money I inherited from my grandfather.,Tôi mua một căn nhà bằng số tiền được thừa kế từ ông nội.
I bought a house with the money that I inherited from my grandfather.,Tôi đã mua một ngôi nhà bằng số tiền thừa kế từ ông nội.
How long does it take from your house to the office by motorbike?,Từ nhà bạn đến cơ quan bằng xe máy mất bao lâu?
He folded the paper in half before handing it to her.,Anh gấp tờ giấy làm đôi trước khi đưa cho cô.
"I can't speak French, but I hope I'll be able to soon.","Tôi không thể nói tiếng Pháp, nhưng tôi hy vọng tôi sẽ sớm nói được."
"I can't speak French, but I hope that I'll be able to soon.","Tôi không thể nói tiếng Pháp, nhưng tôi hy vọng rằng tôi sẽ sớm nói được."
This is one of the shortest books that I've read.,Đây là một trong những cuốn sách ngắn nhất mà tôi từng đọc.
I'm sure that Tom won't want to sing that song.,Tôi chắc chắn rằng Tom sẽ không muốn hát bài hát đó.
I still think that Tom doesn't understand what's going on.,Tôi vẫn nghĩ Tom không hiểu chuyện gì đang xảy ra.
I just came by to tell you I'm moving to Boston.,Tôi chỉ ghé qua để báo với bạn rằng tôi sắp chuyển đến Boston.
A cuckold is a person who shares a bosom with at least one other person.,Người bị mọc sừng là người có chung bộ ngực với ít nhất một người khác.
I haven't eaten any seafood since the recent oil spill.,Tôi đã không ăn hải sản kể từ vụ tràn dầu gần đây.
Tom doesn't have enough money to buy the computer that he wants.,Tom không có đủ tiền để mua chiếc máy tính mà anh ấy muốn.
This is not the only time this has happened to him.,Đây không phải là lần duy nhất điều này xảy ra với anh ấy.
"At the end of the day, she's still the mother of my kids.","Suy cho cùng, cô ấy vẫn là mẹ của các con tôi."
It's really dark outside. I wonder if a storm is coming.,Bên ngoài trời thực sự tối. Tôi tự hỏi liệu một cơn bão có đang đến không.
"At first, Tom seemed angry, but then I realized that he was just worried.","Lúc đầu, Tom có ​​vẻ tức giận nhưng sau đó tôi nhận ra rằng anh ấy chỉ lo lắng mà thôi."
"I realize this may sound crazy, but I think I've fallen in love with your younger sister.","Tôi nhận ra điều này nghe có vẻ điên rồ, nhưng tôi nghĩ tôi đã yêu em gái của bạn rồi."
"I realize this may sound crazy, but I think that I've fallen in love with your younger sister.","Tôi nhận ra điều này nghe có vẻ điên rồ, nhưng tôi nghĩ tôi đã yêu em gái của bạn rồi."
"I realize that this may sound crazy, but I think that I've fallen in love with your younger sister.","Tôi nhận ra rằng điều này nghe có vẻ điên rồ, nhưng tôi nghĩ rằng tôi đã yêu em gái của bạn rồi."
How did you find out Tom didn't enjoy doing that?,Làm sao bạn biết Tom không thích làm việc đó?
Tom and Mary told me they thought that John was nervous.,Tom và Mary nói với tôi rằng họ nghĩ John đang lo lắng.
Tom and Mary told me that they thought that John was nervous.,Tom và Mary nói với tôi rằng họ nghĩ John đang lo lắng.
Do you really think that Tom is going to believe me?,Bạn có thực sự nghĩ rằng Tom sẽ tin tôi không?
I wish that I could stop thinking about what's happened.,Tôi ước gì mình có thể ngừng suy nghĩ về những gì đã xảy ra.
Are you sure that there's nothing more you can do?,Bạn có chắc chắn rằng bạn không thể làm gì hơn nữa không?
My school library has a collection of 2.5 million books.,"Thư viện trường tôi có một bộ sưu tập 2,5 triệu cuốn sách."
"""Do you really love me?"" ""Yeah."" ""Then why haven't you told me you love me recently?""","""Bạn co thực sự yêu tôi?"" ""Vâng."" “Vậy tại sao gần đây anh không nói với em rằng anh yêu em?”"
"""This one is a giant beetle parfait."" ""Hey. I don't remember asking for this.""",“Đây là món parfait của bọ cánh cứng khổng lồ.” "Này. Tôi không nhớ đã yêu cầu điều này."
"""Why isn't Tom coming?"" ""He was talking about getting infected by a computer virus or something."" ""Hah, Tom did?"" ""Yeah, he's going to heat it out in bed."" ""I don't think I understand."" ""Me neither.""","“Tại sao Tom không đến?” “Anh ấy đang nói về việc bị nhiễm virus máy tính hay gì đó.” ""Hah, Tom đã làm thế à?"" “Ừ, anh ấy sẽ sưởi ấm nó trên giường.” ""Tôi không nghĩ là tôi hiểu."" ""Tôi cũng không."""
"Since I didn't know what to say, I remained silent.",Vì không biết phải nói gì nên tôi đành im lặng.
I want to go to Australia again before my passport expires.,Tôi muốn đến Úc lần nữa trước khi hộ chiếu của tôi hết hạn.
That's too bad. I really would love to see you.,Điều đó quá tệ. Tôi thực sự rất muốn nhìn thấy bạn.
I could draw fairly well by the time I began kindergarten.,Tôi có thể vẽ khá tốt khi bắt đầu học mẫu giáo.
Tom isn't the type of man who would do something like that.,Tom không phải là loại người sẽ làm những việc như thế.
Tom would be able to explain everything to you much better than I could.,Tom sẽ có thể giải thích mọi thứ cho bạn tốt hơn tôi nhiều.
"Xiao Wang, can I use your bike? Forget I said that, you are riding it","Tiểu Vương, tôi có thể dùng xe đạp của bạn được không? Quên tôi đã nói điều đó đi, bạn đang cưỡi nó"
How long did it take you to get to Boston by plane?,Bạn mất bao lâu để đến Boston bằng máy bay?
"It is still raining a lot today, and the soil is being broken up.",Hôm nay trời vẫn mưa rất nhiều và đất đang bị phá vỡ.
"You haven't told Tom what we have planned for next week, have you?",Bạn vẫn chưa nói với Tom những gì chúng ta dự định vào tuần tới phải không?
The doctor advised me that I should not work so much anymore.,Bác sĩ khuyên tôi không nên làm việc nhiều nữa.
I won't be able to finish if you don't help me.,Tôi sẽ không thể hoàn thành nếu bạn không giúp tôi.
I will not be able to finish if you don't help me.,Tôi sẽ không thể hoàn thành nếu bạn không giúp tôi.
"I was going to meet him, but I was very busy this week.",Tôi định gặp anh ấy nhưng tuần này tôi bận quá.
"She drinks alcohol-free beer almost every day, because her favourite drink is beer, but she doesn't want to drink alcohol every day.","Cô ấy uống bia không cồn hầu như mỗi ngày, vì đồ uống yêu thích của cô ấy là bia, nhưng cô ấy không muốn uống rượu mỗi ngày."
"The young man is both capable and energetic, needless to say.",Chàng trai trẻ vừa có năng lực vừa có nghị lực thì không cần phải nói.
Nobody knew Tom was the person who contributed most of the money.,Không ai biết Tom là người đóng góp nhiều tiền nhất.
No one knew Tom was the person who contributed most of the money.,Không ai biết Tom là người đóng góp nhiều tiền nhất.
No one knew that Tom was the person who contributed most of the money.,Không ai biết Tom chính là người đóng góp nhiều tiền nhất.
"Tom is more than my friend, but he isn't quite my boyfriend.","Tom không chỉ là bạn của tôi, nhưng anh ấy không hẳn là bạn trai tôi."
The problem isn't so much the cost as the time.,Vấn đề không phải là chi phí nhiều như thời gian.
"I noticed a note on my desk, but I don't know who wrote it.",Tôi để ý thấy một tờ giấy trên bàn nhưng tôi không biết ai đã viết nó.
Tom and Mary told me that they won't do that.,Tom và Mary nói với tôi rằng họ sẽ không làm điều đó.
It doesn't matter to me whether you come or not.,Việc bạn đến hay không đối với tôi không quan trọng.
"Greens and vegetables grow in gardens, such as lettuce, cabbage, onions, garlic, gourd, parsnip, turnip, radish, horse radish, parsley, cucumbers and pumpkin.","Các loại rau xanh mọc trong vườn như rau diếp, bắp cải, hành, tỏi, bầu, rau mùi tây, củ cải, củ cải, củ cải ngựa, rau mùi tây, dưa chuột và bí ngô."
"Pot herbs grow in gardens, such as lettuce, cabbage, onions, garlic, gourd, parsnip, turnip, radish, horse radish, parsley, cucumbers and pumpkin.","Các loại thảo mộc trồng trong chậu như rau diếp, bắp cải, hành tây, tỏi, bầu, rau mùi tây, củ cải, củ cải, củ cải ngựa, rau mùi tây, dưa chuột và bí ngô."
Tom said that he thought tomorrow would be a sunny day.,Tom nói rằng anh ấy nghĩ ngày mai sẽ là một ngày nắng đẹp.
Tom said he thought that tomorrow would be a sunny day.,Tom nói anh ấy nghĩ ngày mai sẽ là một ngày nắng đẹp.
Everyone except Tom knew he didn't need to go to Boston.,Mọi người trừ Tom đều biết anh không cần phải đến Boston.
Everybody except Tom knew he didn't need to go to Boston.,Mọi người ngoại trừ Tom đều biết anh không cần phải đến Boston.
Tom wants Mary to know he really doesn't want to do that.,Tom muốn Mary biết anh ấy thực sự không muốn làm điều đó.
I didn't know that Tom lived in Australia for three years.,Tôi đã không biết rằng Tom đã sống ở Úc được ba năm.
"I know that I didn't have to do that, but I did it anyway.",Tôi biết mình không cần phải làm điều đó nhưng tôi vẫn làm.
I want you to know that you've got nothing to be afraid of.,Tôi muốn bạn biết rằng bạn không có gì phải sợ cả.
Tom asked Mary to tell John that he didn't plan to do that.,Tom yêu cầu Mary nói với John rằng anh ấy không có ý định làm điều đó.
Tom said that he thought that tomorrow would be a sunny day.,Tom nói rằng anh ấy nghĩ ngày mai sẽ là một ngày nắng đẹp.
This isn't the first time that I've ridden a bicycle.,Đây không phải là lần đầu tiên tôi đi xe đạp.
"The first time that I saw Tom, he was sitting on a bench in the park near my home.","Lần đầu tiên tôi nhìn thấy Tom, anh ấy đang ngồi trên một chiếc ghế dài ở công viên gần nhà tôi."
I think it's time for me to admit I never cared about you.,Tôi nghĩ đã đến lúc tôi phải thừa nhận rằng tôi chưa bao giờ quan tâm đến bạn.
Tom said that he's been trying to fix the air conditioner all day.,Tom nói rằng anh ấy đã cố sửa điều hòa cả ngày nay.
Tom said that Mary didn't want to do that yesterday.,Tom nói rằng Mary không muốn làm điều đó ngày hôm qua.
Tom said Mary knew that she might have to do that on her own.,Tom nói Mary biết rằng cô ấy có thể phải tự mình làm điều đó.
Tom said that Mary knew she might have to do that on her own.,Tom nói rằng Mary biết cô ấy có thể phải tự mình làm việc đó.
Tom said that Mary knew that she might have to do that on her own.,Tom nói rằng Mary biết rằng cô ấy có thể phải tự mình làm điều đó.
Tom said that Mary was amused by what was going on.,Tom nói rằng Mary rất thích thú với những gì đang diễn ra.
I thought that you knew Tom was going to be here today.,Tôi tưởng bạn biết Tom sẽ đến đây hôm nay.
I don't think that we're going to make it.,Tôi không nghĩ chúng ta sẽ làm được điều đó.
I don't think that you realize what you're suggesting.,Tôi không nghĩ rằng bạn nhận ra những gì bạn đang đề xuất.
I don't think that you'll be able to persuade Tom to do that.,Tôi không nghĩ rằng bạn sẽ có thể thuyết phục Tom làm điều đó.
Tom told me that he wasn't much older than Mary.,Tom nói với tôi rằng anh ấy không lớn hơn Mary là mấy.
"You're still not convinced that we're telling the truth, are you?",Bạn vẫn chưa tin rằng chúng tôi đang nói sự thật phải không?
I'm glad what Tom said was going to happen didn't happen.,Tôi mừng vì điều Tom nói sẽ xảy ra đã không xảy ra.
I'm glad that what Tom said was going to happen didn't happen.,Tôi mừng vì điều Tom nói sắp xảy ra đã không xảy ra.
Tom claims that he used to be a professional baseball player.,Tom khẳng định anh từng là một cầu thủ bóng chày chuyên nghiệp.
I don't think that Tom is back from Australia yet.,Tôi không nghĩ rằng Tom đã trở về từ Úc.
"I couldn't find work in Australia, so I came back home.",Tôi không thể tìm được việc làm ở Úc nên tôi đã trở về nhà.
Many Palestinian kids were killed by the soldiers of the IDF.,Nhiều trẻ em Palestine đã bị binh lính IDF giết chết.
"I don't usually work on Mondays, but last week I did.",Tôi thường không làm việc vào thứ Hai nhưng tuần trước tôi đã làm việc.
"You aren't the only one who's supposed to do that, are you?","Bạn không phải là người duy nhất phải làm điều đó, phải không?"
"You're not the only one who's supposed to do that, are you?","Bạn không phải là người duy nhất phải làm điều đó, phải không?"
I don't think you'll be able to persuade Tom to do that.,Tôi không nghĩ bạn sẽ có thể thuyết phục Tom làm điều đó.
I don't think Tom will help me with my homework.,Tôi không nghĩ Tom sẽ giúp tôi làm bài tập về nhà.
I'm not as afraid of heights as I used to be.,Tôi không còn sợ độ cao như trước nữa.
Your mother must have been very beautiful when she was young.,Mẹ bạn chắc hẳn hồi trẻ rất đẹp.
I'm not able to do that because I don't have enough money.,Tôi không thể làm điều đó vì tôi không có đủ tiền.
I'm not sure yet if I'll go to a university or get a job.,Tôi vẫn chưa chắc chắn liệu mình sẽ vào đại học hay đi làm.
I didn't think that Tom would be able to convince Mary to do that.,Tôi không nghĩ rằng Tom có ​​thể thuyết phục được Mary làm điều đó.
I think that Tom has done that at least one time.,Tôi nghĩ Tom đã làm điều đó ít nhất một lần.
That's not why we're doing what we're doing.,Đó không phải là lý do tại sao chúng tôi đang làm những gì chúng tôi đang làm.
That isn't why we're doing what we're doing.,Đó không phải là lý do tại sao chúng tôi đang làm những gì chúng tôi đang làm.
"You didn't actually want to go to Boston, did you?",Bạn thực sự không muốn đến Boston phải không?
Tom thinks that Mary spends too much time on her phone.,Tom nghĩ rằng Mary dành quá nhiều thời gian cho điện thoại.
The bread my friends and I ate had raisins in it.,Bánh mì tôi và bạn bè ăn có nho khô trong đó.
Earn money on the races Know-how collection on horse racing will have you raking it in,Kiếm tiền từ các cuộc đua Bộ sưu tập bí quyết về đua ngựa sẽ giúp bạn kiếm được nhiều tiền
"At first, Tom seemed angry, but then I realized he was just worried.","Lúc đầu, Tom có ​​vẻ tức giận, nhưng sau đó tôi nhận ra anh ấy chỉ đang lo lắng."
Tom and Mary lay down side by side on the grass.,Tom và Mary nằm cạnh nhau trên bãi cỏ.
Tom said that he knew where Mary learned how to do that.,Tom nói rằng anh biết Mary đã học cách làm điều đó ở đâu.
Tom said that he needed to spend a few weeks in Boston.,Tom nói rằng anh ấy cần phải dành vài tuần ở Boston.
Tom said that he shouldn't have done that by himself.,Tom nói rằng anh ấy không nên tự mình làm điều đó.
Tom said he thought that Mary needed at least $300 to buy everything she needed.,Tom nói anh nghĩ Mary cần ít nhất 300 đô la để mua mọi thứ cô ấy cần.
Tom said that he'd ask Mary to eat lunch with him.,Tom nói rằng anh ấy sẽ mời Mary ăn trưa cùng anh ấy.
"Tom said that he'd be able to do that, but he wasn't able to.",Tom nói rằng anh ấy có thể làm được điều đó nhưng anh ấy đã không thể làm được.
Tom said that he didn't think Mary would do that on purpose.,Tom nói rằng anh ấy không nghĩ Mary sẽ cố tình làm điều đó.
Tom said that he doesn't think it's safe for you to do that.,Tom nói rằng anh ấy không nghĩ bạn làm điều đó là an toàn.
Tom said that he hopes that you won't do that.,Tom nói rằng anh ấy hy vọng bạn sẽ không làm điều đó.
Tom said that he thought that Mary needed at least $300 to buy everything she needed.,Tom nói rằng anh nghĩ Mary cần ít nhất 300 đô la để mua mọi thứ cô ấy cần.
I suspect Tom and Mary are the ones who did that.,Tôi nghi ngờ Tom và Mary là người đã làm điều đó.
I suspect that Tom and Mary are the ones who did that.,Tôi nghi ngờ rằng Tom và Mary là những người đã làm điều đó.
People who were in the army don't laugh at the circus.,Những người trong quân đội không cười nhạo rạp xiếc.
I don't think Tom will like the soup I made.,Tôi không nghĩ Tom sẽ thích món súp tôi nấu.
Tom is trying to figure out how to do that now.,Tom đang cố gắng tìm ra cách để làm điều đó ngay bây giờ.
I don't want to go to the beach with you today.,Hôm nay tôi không muốn đi biển với anh.
Tom said that he didn't have the confidence to do that.,Tom nói rằng anh ấy không đủ tự tin để làm điều đó.
Tom said that he didn't know anything about the robbery.,Tom nói rằng anh ta không biết gì về vụ cướp.
Tom said he didn't think that he ought to do that.,Tom nói anh ấy không nghĩ mình nên làm điều đó.
Tom said that he doesn't like this kind of food.,Tom nói rằng anh ấy không thích loại thức ăn này.
Tom and Mary told me they already knew they had to do that.,Tom và Mary nói với tôi rằng họ đã biết họ phải làm điều đó.
Tom and Mary told John that they didn't have anything to do.,Tom và Mary nói với John rằng họ không có việc gì để làm.
Tom and Mary didn't tell John that they couldn't eat peanuts.,Tom và Mary không nói với John rằng họ không được ăn đậu phộng.
Tom and Mary told John they didn't have many friends in Boston.,Tom và Mary nói với John rằng họ không có nhiều bạn bè ở Boston.
Tom and Mary won't be able to buy what they need at this store.,Tom và Mary sẽ không thể mua được những thứ họ cần ở cửa hàng này.
Tom and Mary had no idea why John wanted them to stop doing that.,Tom và Mary không biết tại sao John lại muốn họ ngừng làm việc đó.
Tom and Mary said they thought I might not have to do that tomorrow.,Tom và Mary nói họ nghĩ ngày mai tôi có thể không phải làm việc đó.
I think the reason Tom and Mary are so good at French is that they watch a lot of French movies.,Tôi nghĩ lý do Tom và Mary giỏi tiếng Pháp là vì họ xem rất nhiều phim Pháp.
I should probably tell Tom and Mary not to waste their time trying to convince John to do that.,Có lẽ tôi nên nói với Tom và Mary đừng phí thời gian thuyết phục John làm điều đó.
I know that Tom and Mary are planning to eat together.,Tôi biết Tom và Mary đang định đi ăn cùng nhau.
Tom and Mary didn't tell me why they wanted to do that.,Tom và Mary không nói cho tôi biết lý do tại sao họ muốn làm điều đó.
